Intensity,Wavelength (nm),Element,Literature WL
447.3892205,2253.645442,Ne,2253.646485
65.85997875,2266.789366,Ne,2266.791034
7.103745774,2269.389625,Ce,
123.4716627,2310.670397,Ne,2310.671881
187.1531255,2326.653306,Ne,2326.655197
234.2024466,2337.925982,Ne,2337.92724
145.1747781,2357.1688,Ne,2357.169436
721.6936879,2364.28477,Ne,2364.286357
28.07151648,2370.806425,Ne,2370.806118
2.080164293,2371.401477,Ce,
245.6606764,2371.551871,Ne,2371.553319
3.709337553,2391.845741,Ce,
473.0972383,2395.784759,Ne,2395.786862
175.6602432,2396.288594,Ne,2396.289998
5.260542871,2397.831683,Ce,
134.0941578,2398.464208,Ne,2398.463585
5.917919632,2409.347163,Ce,
21.37544621,2410.508736,Ne,2410.507837
4.682662835,2415.643104,Ce,
47.23124629,2416.796453,Ne,2416.795535
2.917937468,2422.546624,Ce,
94.01048236,2425.61424,Ne,2425.615916
277.5984855,2437.157124,Ne,2437.159033
81.94838318,2437.819525,Ne,2437.819211
9.078933623,2438.994159,Ce,
39.83295496,2445.446204,Ne,2445.44627
5.347173917,2445.970014,Ce,
74.58729224,2446.600013,Ne,2446.599582
7.720354983,2447.15477,Ce,
27.93851234,2478.31786,Ne,2478.318146
12.22975573,2491.044334,Ce,
34.97499166,2493.562936,Ne,2493.562262
2.043473497,2500.658217,Ce,
9.632353129,2516.850509,Ne,2516.849549
20.75781781,2553.120206,Ne,2553.122343
218.1793946,2553.130319,Ne,2553.135112
7.868904127,2586.197576,Ce,
42.56025559,2686.81162,Ce,
9.544403858,2758.103636,Ce,
12.80569543,2839.396108,Ne,2839.400835
13.13620927,2854.097085,Ce,
9.018617267,2945.59162,Ce,
26.77660965,3020.875334,Ne,3020.879742
5.755123983,3186.860392,Ce,
67.29234521,3318.21775,Ne,3318.221511
18.4008911,3334.177825,Ce,
84.27475085,3336.151151,Ne,3336.155443
22.32939387,3390.907246,Ne,3390.913501
33.04103084,3391.229928,Ne,3391.23459
83.08165938,3392.23734,Ne,3392.242867
16.83444618,3414.071025,Ne,3414.07287
45.13304499,3448.087372,Ne,3448.091225
12.46717113,3449.931122,Ce,
31.58211827,3478.951464,Ce,
6.161198561,3551.698211,Ce,
36.89343415,3584.461084,Ne,3584.466728
6.532959287,3620.938853,Ce,
16.46868159,3774.625588,Ce,
5.407863114,3945.778423,Ce,
11.43806005,3981.717491,Ce,
9.132778166,4025.477592,Ce,
21.2586143,4035.668677,Ce,
11.08178155,4042.594023,Ce,
7.111235531,4042.952609,Ce,
7.121307174,4042.974169,Ce,
10.57780124,4045.728067,Ce,
8.869088508,4056.443452,Ce,
7.772474004,4218.295868,Ce,
4.94695664,4318.761341,Ce,
