Intensity,Wavelength (nm),Element
1450,866.786556,Th 
39400,867.032519,Ar 
176,867.04971,Th 
181,868.0792,Ar 
87,869.02347,Th 
24,869.37225,Th 
29,870.35113,Th 
39,870.60941,Th 
47,870.72506,Th 
45,870.975,Th 
640,871.162599,Th 
25,871.28062,Th 
16,871.60468,Th 
33,872.48539,Th 
39,872.67726,Th 
21,873.32202,Th 
240,873.48235,Th 
58,873.64221,Th 
55,874.21816,Th   
1880,875.043322,Th 
215,875.15723,Th   
20,875.36086,Th 
1510,876.064842,Th 
230,876.28552,Th 
840,876.4093,Ar 
311,876.915239,Th 
181,877.4269,Ar
369,877.521433,Th 
660,877.798295,Th 
39,878.51278,Th 
83,878.69732,Ar 
233,879.44713,Th 
45,880.05886,Th 
290,880.1504,Ar 
162,880.7007,Th 
13,880.86476,Th 
37,881.26735,Th 
28,881.49297,Th 
54,881.85936,Th
50,882.01642,Th 
132,882.26524,Th 
226,882.28432,Th 
23,882.41822,Th 
32,883.2118,Th 
450,884.361073,Th 
70,884.45024,Th 
26,885.07333,Th 
51,885.17447,Th 
130,885.23248,Ar 
40,885.52217,Th 
53,885.73389,Th 
64,886.14501,Th 
21,886.3408,Th 
85,886.801,Th 
1010,887.126822,Th 
95,887.76685,Th 
133,889.16345,Th 
23,889.27207,Th 
272,889.542771,Th 
63,889.59811,Th 
26,890.93963,Th   
33,890.94762,Th 
62,891.33029,Th 
30,893.01788,Th 
59,893.05434,Th 
40,894.41139,Th 
237,895.15792,Th 
250,895.83049,Th 
23,896.0445,Th
109,896.46078,Ar 
21,896.46685,Th   
43,896.94626,Th 
4100,897.010193,Th 
203,897.23287,Th 
47,898.3204,Th 
31,898.77469,Th 
107,898.98747,Th 
56,899.33613,Th 
77,899.76579,Th 
170,900.03463,Th 
24,901.09279,Ar
65,901.23561,Th 
140,901.50001,Th 
500,901.906511,Th 
63,902.00668,Ar
196,903.42982,Th 
155,904.03744,Th 
59,904.26045,Th 
257,904.78359,Th 
5100,905.073345,Th 
59,905.10085,Th 
16,905.57403,Th 
114,905.59701,Th
22,905.85648,Th 
16,906.07436,Th 
80,906.50506,Th
560,906.644754,Th 
43,906.86004,Th
18,906.97365,Th 
29,907.20706,Th 
33,907.47692,Th
145,907.58066,Ar 
340,907.78861,Ar 
32,909.29392,Th   
155,909.33137,Th 
990,909.732481,Th 
28,909.73757,Th   
85,909.76005,Ar
32,910.35802,Th 
139,910.97263,Th 
22,911.40322,Th 
27,912.06394,Th 
246,912.21388,Th 
261800,912.547121,Ar 
39,912.88346,Th 
65,913.47803,Th 
173,913.71989,Th 
249,914.30643,Th   
14,915.86995,Th 
430,916.841036,Th 
39,917.03107,Th 
72,917.33387,Th 
184,918.12983,Th 
43,919.00867,Th 
111,919.61156,Th 
3760,919.716207,Ar 
290,920.09995,Ar 
180,920.12877,Ar 
87,920.22084,Th 
7500,920.648714,Th 
37,921.05511,Th 
78,921.11077,Th 
122,921.84484,Th 
63,922.39624,Th 
29,922.487,Th 
142700,922.703063,Ar 
420,923.004386,Th 
99,923.50291,Th 
17,923.58094,Th
99,923.63913,Th 
54,924.18609,Th 
22,924.77902,Th 
15,925.3118,Th 
69,926.28661,Th 
29,926.62244,Th 
2080,926.874922,Th 
347,926.946219,Th 
26,926.96133,Th 
29,926.96303,Th
25,927.02313,Th
123,927.26938,Th 
39,927.3724,Th 
1050,927.881815,Th 
29,928.78539,Th 
25,929.01264,Th 
1350,929.211105,Th 
2170,929.408077,Ar 
67,929.75243,Th 
37,930.25652,Th 
266,931.04494,Th 
90,931.29982,Th 
130,932.0286,Th 
17,932.24808,Th 
31,932.26284,Th 
18,932.98061,Th 
41,933.87235,Th 
